,pi_AZ,pi_TXMXSA,DXY,PnPs
D8B26_000090,0.0019841508275083883,0.0014981273408239694,0.0017464800016022753,0.28848523537945175
D8B26_000091,0.0027016398289114773,0.002662518539955866,0.002752886416658332,
D8B26_000092,0.0032274617836115208,0.0016069788797061512,0.0026062766704477935,
D8B26_000093,0.0032324926945877055,0.001966185923405175,0.002700804839842273,0.3439286072394848
D8B26_000094,0.005226971307467751,0.0035853476145648005,0.004762914233352025,0.3847394445384892
D8B26_000095,0.0023535742157950327,0.0021390374331550803,0.0024076269751010237,0.4029583495522957
D8B26_000096,0.0009860265945458662,0.0004702194357366769,0.0007260741287110456,0.21111224942795617
D8B26_000097,0.0011947820173549503,0.0014781966001478199,0.0014019366960543432,0.3893114881996228
D8B26_000098,0.00017914886374833134,0.0005177402162326788,0.0004030849434337463,0.0
D8B26_000099,0.001482946119624316,0.0014260249554367199,0.0015952905226261627,
D8B26_000100,0.0008740786572580464,0.0017029802153769097,0.0014637044766169587,inf
D8B26_000101,0.0009510106739080988,0.00016695884464479506,0.0005966323418924294,0.04792331718120495
D8B26_000102,0.0004936062386279814,0.0005659709939865584,0.0005288638271014101,
D8B26_000103,0.003295698169899087,0.002835595776772248,0.002984984440617541,0.16113227355031068
D8B26_000104,0.0020093988008426603,0.0013957759412304863,0.0017069086587803166,0.5641497523981305
D8B26_000105,0.0007593297285349723,0.0017480276585553945,0.00128986713902812,0.5592217918991902
D8B26_000106,0.00026143790849673205,0.0,0.00013071895424836603,0.0
D8B26_000107,0.001039155483312011,0.0012637387086726288,0.0011922804096942475,
D8B26_000108,,0.004076738609112709,,0.39281830109366733
D8B26_000109,0.00027681660899653976,0.000285204991087344,0.0002810108000419419,0.06047781569964609
D8B26_000110,0.0014976557669319033,0.0038174693464795837,0.0026134499726626573,0.7918018164124367
D8B26_000111,0.0011363182562415882,0.0011109053878911306,0.0011386717547854988,0.46641499073364107
D8B26_000112,0.0013612417704489252,0.0016621060099320964,0.0015291613757086903,1.7875229514492665
D8B26_000113,0.00043572984749455304,0.0,0.00021786492374727668,0.5391438965862926
D8B26_000114,0.0014772748513565942,0.0011779018566435155,0.0013139801375095493,0.8670776684493419
D8B26_000115,0.0011730007170043606,0.001221517500587268,0.0012344143671093055,
D8B26_000116,0.000683944822751422,0.0003052103771528231,0.0005062431312739705,0.3729859050602749
D8B26_000117,0.000656902090796189,0.0007444890362356767,0.0007219080268645584,0.6035948327346029
D8B26_000118,0.000716109166003782,0.0005922416345869116,0.0007606240601067196,0.4673632900043867
D8B26_000119,0.00024854465454234785,0.0003961180431768668,0.0003029137977234863,0.0
D8B26_000120,0.0011392936379444778,0.0015568529329997225,0.0014309310045953327,0.2916943521594138
D8B26_000121,0.0013384956458960182,0.0017595307917888578,0.0015217885993855957,1.0090175156978503
D8B26_000122,0.0019634153654229385,0.0026855582762504,0.0024191494779730073,0.22864563725468875
D8B26_000123,0.0033164291033730147,0.0035290402867406306,0.003936052260945132,0.4639914122872863
D8B26_000124,0.0007104974425235834,0.0008978675645342311,0.0008708309361904133,
D8B26_000125,0.0006250243289434712,0.00020976139641158171,0.0005122849229589577,0.13853888875295073
D8B26_000126,0.00043816409245262314,0.00033858134416793635,0.0003784144434818112,inf
D8B26_000127,0.001163815843670082,0.0009832841691248774,0.001075302741101804,
D8B26_000128,0.0009365467489237439,0.0004055424129773571,0.0007355426117726577,0.08672488975388021
D8B26_000129,0.0010092052657822703,0.00040607075782955206,0.0007763117429094372,0.1868230212028336
D8B26_000130,0.0005255537981304344,0.0008194622279129323,0.000758203409404735,1.3170372551904148
D8B26_000131,0.0012457394396085488,0.0011950490823730258,0.0012481304941951172,0.3205606744798463
D8B26_000132,0.0005684333373576398,0.0014004587709766985,0.001167048975813916,0.164263092916288
D8B26_000133,0.0007249606034772224,0.0007412746184884246,0.0007750135627373479,0.5489282538228126
D8B26_000134,0.0006218310716580596,0.000611153552330023,0.000633161532815512,0.5273209874420802
D8B26_000135,0.0012325809013416205,0.0017259978425026958,0.0015431297555797841,0.7482635726262233
D8B26_000136,0.0008987649193245953,0.001153280376581347,0.0010920166831074885,0.2691003982622295
D8B26_000137,0.0008531773237655607,0.0012432012432012434,0.0012797659856483385,0.0
D8B26_000138,0.001146899915709767,0.001585623678646935,0.0014431248186378145,
D8B26_000139,0.0008230224627664512,0.0010048673261108488,0.0009543776687940053,0.381280766331024
D8B26_000140,0.001595751160269449,0.0006074411541381932,0.0011267708574421692,0.792172571389477
D8B26_000141,0.0011860331253713667,0.0015151515151515138,0.0014726771390374332,0.33704592186425464
D8B26_000142,0.0006052648914403973,0.0005056925921206863,0.000582662847422499,0.33883663640858275
D8B26_000143,0.0019087553375880062,0.0010362694300518126,0.0015146897195053245,0.21062226683739751
D8B26_000144,0.0012546808716439282,0.0017758985200845674,0.0016996227666542304,0.7148211910423476
D8B26_000145,0.0017973856209150378,0.0014393939393939385,0.0017212566844919785,0.2758612069396248
D8B26_000146,0.0014030245529296844,0.0005865102639296189,0.0010120177103099305,0.11306564690884487
D8B26_000147,0.002409365839557195,,,
D8B26_000148,0.0006300669545833398,0.0008948545861297546,0.0008314491141178863,
D8B26_000149,0.0008533157709867084,0.0005897644822100648,0.0007611704907780828,0.20377247110688596
D8B26_000150,0.0019956473344846133,0.0008033551893201015,0.0015479876160990713,0.2316738804296844
