# This file was produced by bcftools (1.10.2-128-gd1b74cd+htslib-1.10.2-137-g34ba6c7), the command line was:
# 	 bcftools gtcheck  all_strains_biallelic_SNPs_no_missing.recode.vcf.gz
# and the working directory was:
# 	 /Users/clairedubin/cocci/popgen/popgen_paper/isolate_and_pop_info
#
INFO	Time required to process one record .. 0.000013 seconds
# DC, discordance:
#     - query sample
#     - genotyped sample
#     - discordance (number of mismatches; smaller is better)
#     - negative log of HWE probability at matching sites (rare genotypes mataches are more informative, bigger is better)
#     - number of sites compared (bigger is better)
#DC	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]-log P(HWE)	[6]Number of sites compared
DC	Tucson_20	Tucson_2	2.510737e+05	1.583933e+06	262428
DC	Tucson_20	Tucson_3	3.223087e+05	1.574401e+06	262428
DC	Tucson_20	Tucson_4	3.222691e+05	1.574434e+06	262428
DC	Tucson_20	Tucson_5	3.214669e+05	1.560844e+06	262428
DC	Tucson_20	Tucson_6	2.833884e+05	1.576428e+06	262428
DC	Tucson_20	Tucson_7	2.741783e+05	1.574033e+06	262428
DC	Tucson_20	Tucson_8	3.063940e+05	1.572171e+06	262428
DC	Tucson_20	Tucson_9	3.234971e+05	1.565667e+06	262428
DC	Tucson_20	Tucson_10	3.194565e+05	1.562761e+06	262428
DC	Tucson_20	Tucson_11	3.354802e+05	1.559699e+06	262428
DC	Tucson_20	Tucson_12	3.191594e+05	1.569071e+06	262428
DC	Tucson_20	Tucson_13	3.094145e+05	1.573308e+06	262428
DC	Tucson_20	Tucson_14	3.243686e+05	1.568337e+06	262428
DC	Tucson_20	Tucson_15	3.261215e+05	1.566169e+06	262428
DC	Tucson_20	Tucson_16	2.946684e+05	1.575872e+06	262428
DC	Tucson_20	Tucson_17	3.124350e+05	1.571456e+06	262428
DC	Tucson_20	Tucson_18	2.989763e+05	1.577101e+06	262428
DC	Tucson_20	Tucson_19	3.157329e+05	1.570879e+06	262428
DC	Tucson_21	Tucson_1	2.884887e+05	1.577757e+06	262428
DC	Tucson_21	Tucson_2	3.297065e+05	1.568555e+06	262428
DC	Tucson_21	Tucson_3	2.929749e+05	1.581725e+06	262428
DC	Tucson_21	Tucson_4	2.929353e+05	1.581758e+06	262428
DC	Tucson_21	Tucson_5	2.963717e+05	1.567603e+06	262428
DC	Tucson_21	Tucson_6	3.019474e+05	1.574147e+06	262428
DC	Tucson_21	Tucson_7	3.466909e+05	1.559509e+06	262428
DC	Tucson_21	Tucson_8	2.822495e+05	1.578144e+06	262428
DC	Tucson_21	Tucson_9	2.721778e+05	1.578038e+06	262428
DC	Tucson_21	Tucson_10	2.888353e+05	1.570072e+06	262428
DC	Tucson_21	Tucson_11	2.968174e+05	1.569204e+06	262428
DC	Tucson_21	Tucson_12	2.848541e+05	1.577227e+06	262428
DC	Tucson_21	Tucson_13	2.815068e+05	1.579823e+06	262428
DC	Tucson_21	Tucson_14	2.822594e+05	1.578248e+06	262428
DC	Tucson_21	Tucson_15	2.726036e+05	1.578503e+06	262428
DC	Tucson_21	Tucson_16	3.091471e+05	1.574131e+06	262428
DC	Tucson_21	Tucson_17	2.835171e+05	1.578343e+06	262428
DC	Tucson_21	Tucson_18	2.796251e+05	1.582152e+06	262428
DC	Tucson_21	Tucson_19	2.770700e+05	1.579720e+06	262428
DC	Tucson_21	Tucson_20	3.167232e+05	1.570501e+06	262428
DC	Tucson_22	Tucson_1	2.759312e+05	1.578313e+06	262428
DC	Tucson_22	Tucson_2	3.238834e+05	1.567334e+06	262428
DC	Tucson_22	Tucson_3	2.926778e+05	1.579443e+06	262428
DC	Tucson_22	Tucson_4	2.926382e+05	1.579476e+06	262428
DC	Tucson_22	Tucson_5	2.851413e+05	1.567889e+06	262428
DC	Tucson_22	Tucson_6	3.012541e+05	1.571898e+06	262428
DC	Tucson_22	Tucson_7	3.381739e+05	1.558953e+06	262428
DC	Tucson_22	Tucson_8	2.777732e+05	1.577171e+06	262428
DC	Tucson_22	Tucson_9	2.921628e+05	1.571276e+06	262428
DC	Tucson_22	Tucson_10	2.865575e+05	1.568441e+06	262428
DC	Tucson_22	Tucson_11	3.129203e+05	1.563874e+06	262428
DC	Tucson_22	Tucson_12	2.695039e+05	1.578415e+06	262428
DC	Tucson_22	Tucson_13	2.774662e+05	1.578660e+06	262428
DC	Tucson_22	Tucson_14	2.946188e+05	1.573334e+06	262428
DC	Tucson_22	Tucson_15	3.108307e+05	1.568823e+06	262428
DC	Tucson_22	Tucson_16	3.012244e+05	1.573690e+06	262428
DC	Tucson_22	Tucson_17	2.795162e+05	1.577426e+06	262428
DC	Tucson_22	Tucson_18	2.764560e+05	1.580795e+06	262428
DC	Tucson_22	Tucson_19	2.906971e+05	1.575052e+06	262428
