# This file was produced by bcftools (1.10.2-128-gd1b74cd+htslib-1.10.2-137-g34ba6c7), the command line was:
# 	 bcftools gtcheck  all_strains_biallelic_SNPs_no_missing.recode.vcf.gz
# and the working directory was:
# 	 /Users/clairedubin/cocci/popgen/popgen_paper/isolate_and_pop_info
#
INFO	Time required to process one record .. 0.000013 seconds
# DC, discordance:
#     - query sample
#     - genotyped sample
#     - discordance (number of mismatches; smaller is better)
#     - negative log of HWE probability at matching sites (rare genotypes mataches are more informative, bigger is better)
#     - number of sites compared (bigger is better)
#DC	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]-log P(HWE)	[6]Number of sites compared
DC	Nuevo_Leon_1	Phoenix_7	3.417392e+05	1.558614e+06	262428
DC	Nuevo_Leon_1	Phoenix_8	3.488102e+05	1.562666e+06	262428
DC	Nuevo_Leon_1	Phoenix_9	3.498698e+05	1.559166e+06	262428
DC	Nuevo_Leon_2	Tucson_1	3.501273e+05	1.565661e+06	262428
DC	Nuevo_Leon_2	Tucson_2	3.649428e+05	1.560747e+06	262428
DC	Nuevo_Leon_2	Tucson_3	3.479783e+05	1.570618e+06	262428
DC	Nuevo_Leon_2	Tucson_4	3.479387e+05	1.570651e+06	262428
DC	Nuevo_Leon_2	Tucson_5	3.527220e+05	1.555984e+06	262428
DC	Nuevo_Leon_2	Tucson_6	3.488894e+05	1.564044e+06	262428
DC	Nuevo_Leon_2	Tucson_7	3.559406e+05	1.556087e+06	262428
DC	Nuevo_Leon_2	Tucson_8	3.486220e+05	1.564993e+06	262428
DC	Nuevo_Leon_2	Tucson_9	3.448092e+05	1.562625e+06	262428
DC	Nuevo_Leon_2	Tucson_10	3.652300e+05	1.554782e+06	262428
DC	Nuevo_Leon_2	Tucson_11	3.268841e+05	1.562366e+06	262428
DC	Nuevo_Leon_2	Tucson_12	3.485131e+05	1.564690e+06	262428
DC	Nuevo_Leon_2	Tucson_13	3.470870e+05	1.566926e+06	262428
DC	Nuevo_Leon_2	Tucson_14	3.474237e+05	1.565070e+06	262428
DC	Nuevo_Leon_2	Tucson_15	3.387384e+05	1.564690e+06	262428
DC	Nuevo_Leon_2	Tucson_16	3.455718e+05	1.566163e+06	262428
DC	Nuevo_Leon_2	Tucson_17	3.467008e+05	1.565851e+06	262428
DC	Nuevo_Leon_2	Tucson_18	3.447300e+05	1.569404e+06	262428
DC	Nuevo_Leon_2	Tucson_19	3.398773e+05	1.567157e+06	262428
DC	Nuevo_Leon_2	Tucson_20	3.512266e+05	1.562724e+06	262428
DC	Nuevo_Leon_2	Tucson_21	3.441358e+05	1.566412e+06	262428
DC	Nuevo_Leon_2	Tucson_22	3.431256e+05	1.564196e+06	262428
DC	Nuevo_Leon_2	Tucson_23	3.465621e+05	1.564825e+06	262428
DC	Nuevo_Leon_2	San_Antonio_1	1.730449e+05	1.599255e+06	262428
DC	Nuevo_Leon_2	Colorado_Springs_1	3.468493e+05	1.560651e+06	262428
DC	Nuevo_Leon_2	Sonora_1	2.196304e+05	1.591853e+06	262428
DC	Nuevo_Leon_2	Sonora_2	3.350643e+05	1.552739e+06	262428
DC	Nuevo_Leon_2	Coahuila_2	2.095388e+05	1.592355e+06	262428
DC	Nuevo_Leon_2	Phoenix_1	3.551781e+05	1.563735e+06	262428
DC	Nuevo_Leon_2	Phoenix_2	3.497807e+05	1.563384e+06	262428
DC	Nuevo_Leon_2	Phoenix_3	3.457500e+05	1.565904e+06	262428
DC	Nuevo_Leon_2	Phoenix_4	3.472653e+05	1.563827e+06	262428
DC	Nuevo_Leon_2	Phoenix_5	3.404814e+05	1.566652e+06	262428
DC	Nuevo_Leon_2	Phoenix_6	3.461462e+05	1.566516e+06	262428
DC	Nuevo_Leon_2	Phoenix_7	3.345097e+05	1.563006e+06	262428
DC	Nuevo_Leon_2	Phoenix_8	3.462947e+05	1.566229e+06	262428
DC	Nuevo_Leon_2	Phoenix_9	3.504839e+05	1.562287e+06	262428
DC	Nuevo_Leon_2	Nuevo_Leon_1	2.134309e+05	1.587346e+06	262428
DC	Michoacan_1	Tucson_1	3.508008e+05	1.549888e+06	262428
DC	Michoacan_1	Tucson_2	3.696766e+05	1.544256e+06	262428
DC	Michoacan_1	Tucson_3	3.552078e+05	1.553696e+06	262428
DC	Michoacan_1	Tucson_4	3.551682e+05	1.553729e+06	262428
DC	Michoacan_1	Tucson_5	3.570993e+05	1.539650e+06	262428
DC	Michoacan_1	Tucson_6	3.568913e+05	1.547118e+06	262428
DC	Michoacan_1	Tucson_7	3.732319e+05	1.537104e+06	262428
DC	Michoacan_1	Tucson_8	3.533162e+05	1.548740e+06	262428
DC	Michoacan_1	Tucson_9	3.399367e+05	1.548265e+06	262428
DC	Michoacan_1	Tucson_10	3.638435e+05	1.539288e+06	262428
DC	Michoacan_1	Tucson_11	3.350445e+05	1.545336e+06	262428
DC	Michoacan_1	Tucson_12	3.508305e+05	1.548655e+06	262428
DC	Michoacan_1	Tucson_13	3.552276e+05	1.549828e+06	262428
DC	Michoacan_1	Tucson_14	3.476614e+05	1.549537e+06	262428
DC	Michoacan_1	Tucson_15	3.428979e+05	1.548548e+06	262428
DC	Michoacan_1	Tucson_16	3.541679e+05	1.548971e+06	262428
DC	Michoacan_1	Tucson_17	3.389959e+05	1.552302e+06	262428
DC	Michoacan_1	Tucson_18	3.529498e+05	1.552246e+06	262428
DC	Michoacan_1	Tucson_19	3.437793e+05	1.550820e+06	262428
DC	Michoacan_1	Tucson_20	3.655271e+05	1.544682e+06	262428
DC	Michoacan_1	Tucson_21	3.433831e+05	1.550962e+06	262428
DC	Michoacan_1	Tucson_22	3.538015e+05	1.546672e+06	262428
DC	Michoacan_1	Tucson_23	3.434128e+05	1.549871e+06	262428
DC	Michoacan_1	San_Antonio_1	3.048590e+05	1.556394e+06	262428
DC	Michoacan_1	Colorado_Springs_1	3.456015e+05	1.545320e+06	262428
DC	Michoacan_1	Sonora_1	3.059483e+05	1.559201e+06	262428
DC	Michoacan_1	Sonora_2	3.441358e+05	1.535561e+06	262428
DC	Michoacan_1	Coahuila_2	2.957577e+05	1.559870e+06	262428
DC	Michoacan_1	Phoenix_1	3.563665e+05	1.547916e+06	262428
DC	Michoacan_1	Phoenix_2	3.515633e+05	1.547347e+06	262428
DC	Michoacan_1	Phoenix_3	3.441259e+05	1.550771e+06	262428
DC	Michoacan_1	Phoenix_4	3.476416e+05	1.548698e+06	262428
DC	Michoacan_1	Phoenix_5	3.370945e+05	1.551889e+06	262428
DC	Michoacan_1	Phoenix_6	3.414124e+05	1.551667e+06	262428
DC	Michoacan_1	Phoenix_7	3.477604e+05	1.545359e+06	262428
DC	Michoacan_1	Phoenix_8	3.472454e+05	1.550509e+06	262428
DC	Michoacan_1	Phoenix_9	3.548413e+05	1.545772e+06	262428
DC	Michoacan_1	Nuevo_Leon_1	2.967976e+05	1.555107e+06	262428
DC	Michoacan_1	Nuevo_Leon_2	3.060672e+05	1.556287e+06	262428
DC	B0858_Guatemala	Tucson_1	3.484339e+05	1.572228e+06	262428
DC	B0858_Guatemala	Tucson_2	3.442942e+05	1.570644e+06	262428
DC	B0858_Guatemala	Tucson_3	3.482853e+05	1.577032e+06	262428
DC	B0858_Guatemala	Tucson_4	3.482457e+05	1.577065e+06	262428
DC	B0858_Guatemala	Tucson_5	3.534450e+05	1.562201e+06	262428
DC	B0858_Guatemala	Tucson_6	3.447795e+05	1.571206e+06	262428
DC	B0858_Guatemala	Tucson_7	3.525240e+05	1.562952e+06	262428
DC	B0858_Guatemala	Tucson_8	3.521773e+05	1.570878e+06	262428
DC	B0858_Guatemala	Tucson_9	3.473148e+05	1.568804e+06	262428
DC	B0858_Guatemala	Tucson_10	3.552573e+05	1.562925e+06	262428
DC	B0858_Guatemala	Tucson_11	3.323607e+05	1.567415e+06	262428
DC	B0858_Guatemala	Tucson_12	3.454331e+05	1.571627e+06	262428
DC	B0858_Guatemala	Tucson_13	3.470375e+05	1.573361e+06	262428
DC	B0858_Guatemala	Tucson_14	3.426998e+05	1.572430e+06	262428
DC	B0858_Guatemala	Tucson_15	3.499194e+05	1.569113e+06	262428
DC	B0858_Guatemala	Tucson_16	3.348464e+05	1.574510e+06	262428
DC	B0858_Guatemala	Tucson_17	3.440764e+05	1.572796e+06	262428
DC	B0858_Guatemala	Tucson_18	3.387781e+05	1.576811e+06	262428
DC	B0858_Guatemala	Tucson_19	3.361239e+05	1.574495e+06	262428
DC	B0858_Guatemala	Tucson_20	3.383819e+05	1.571389e+06	262428
DC	B0858_Guatemala	Tucson_21	3.391544e+05	1.573855e+06	262428
DC	B0858_Guatemala	Tucson_22	3.377085e+05	1.571852e+06	262428
DC	B0858_Guatemala	Tucson_23	3.393425e+05	1.572559e+06	262428
DC	B0858_Guatemala	San_Antonio_1	3.505235e+05	1.569877e+06	262428
DC	B0858_Guatemala	Colorado_Springs_1	3.451756e+05	1.567410e+06	262428
DC	B0858_Guatemala	Sonora_1	3.498500e+05	1.573373e+06	262428
DC	B0858_Guatemala	Sonora_2	3.483051e+05	1.556605e+06	262428
DC	B0858_Guatemala	Coahuila_2	3.452450e+05	1.572813e+06	262428
DC	B0858_Guatemala	Phoenix_1	3.401942e+05	1.572802e+06	262428
DC	B0858_Guatemala	Phoenix_2	3.392534e+05	1.571606e+06	262428
DC	B0858_Guatemala	Phoenix_3	3.434624e+05	1.572905e+06	262428
DC	B0858_Guatemala	Phoenix_4	3.446211e+05	1.570706e+06	262428
DC	B0858_Guatemala	Phoenix_5	3.364508e+05	1.573792e+06	262428
DC	B0858_Guatemala	Phoenix_6	3.316971e+05	1.575540e+06	262428
DC	B0858_Guatemala	Phoenix_7	3.380848e+05	1.568809e+06	262428
DC	B0858_Guatemala	Phoenix_8	3.355694e+05	1.574495e+06	262428
DC	B0858_Guatemala	Phoenix_9	3.461957e+05	1.569490e+06	262428
DC	B0858_Guatemala	Nuevo_Leon_1	3.503452e+05	1.567115e+06	262428
DC	B0858_Guatemala	Nuevo_Leon_2	3.434723e+05	1.571209e+06	262428
DC	B0858_Guatemala	Michoacan_1	3.426998e+05	1.556289e+06	262428
DC	B10757_Nevada	Tucson_1	2.994319e+05	1.572339e+06	262428
DC	B10757_Nevada	Tucson_2	3.328459e+05	1.564495e+06	262428
DC	B10757_Nevada	Tucson_3	2.967679e+05	1.577725e+06	262428
DC	B10757_Nevada	Tucson_4	2.967283e+05	1.577758e+06	262428
DC	B10757_Nevada	Tucson_5	3.154952e+05	1.560661e+06	262428
DC	B10757_Nevada	Tucson_6	3.023930e+05	1.570893e+06	262428
DC	B10757_Nevada	Tucson_7	3.525636e+05	1.554733e+06	262428
DC	B10757_Nevada	Tucson_8	2.922024e+05	1.572598e+06	262428
DC	B10757_Nevada	Tucson_9	2.923114e+05	1.569876e+06	262428
DC	B10757_Nevada	Tucson_10	3.091075e+05	1.562673e+06	262428
DC	B10757_Nevada	Tucson_11	3.105138e+05	1.563560e+06	262428
DC	B10757_Nevada	Tucson_12	2.970650e+05	1.571702e+06	262428
DC	B10757_Nevada	Tucson_13	2.904693e+05	1.574889e+06	262428
DC	B10757_Nevada	Tucson_14	2.863891e+05	1.574076e+06	262428
DC	B10757_Nevada	Tucson_15	2.982633e+05	1.570009e+06	262428
DC	B10757_Nevada	Tucson_16	3.208628e+05	1.568704e+06	262428
DC	B10757_Nevada	Tucson_17	3.068198e+05	1.570917e+06	262428
DC	B10757_Nevada	Tucson_18	2.893601e+05	1.577187e+06	262428
DC	B10757_Nevada	Tucson_19	2.824278e+05	1.575587e+06	262428
DC	B10757_Nevada	Tucson_20	3.185949e+05	1.566818e+06	262428
DC	B10757_Nevada	Tucson_21	2.834379e+05	1.575924e+06	262428
DC	B10757_Nevada	Tucson_22	3.041954e+05	1.569306e+06	262428
DC	B10757_Nevada	Tucson_23	2.737029e+05	1.576216e+06	262428
DC	B10757_Nevada	San_Antonio_1	3.471563e+05	1.562368e+06	262428
DC	B10757_Nevada	Colorado_Springs_1	2.942722e+05	1.568249e+06	262428
DC	B10757_Nevada	Sonora_1	3.437496e+05	1.566335e+06	262428
DC	B10757_Nevada	Sonora_2	3.315486e+05	1.552009e+06	262428
DC	B10757_Nevada	Coahuila_2	3.434822e+05	1.564970e+06	262428
DC	B10757_Nevada	Phoenix_1	2.689889e+05	1.577378e+06	262428
DC	B10757_Nevada	Phoenix_2	2.868249e+05	1.572992e+06	262428
DC	B10757_Nevada	Phoenix_3	2.769710e+05	1.576459e+06	262428
DC	B10757_Nevada	Phoenix_4	2.914002e+05	1.571907e+06	262428
DC	B10757_Nevada	Phoenix_5	2.964609e+05	1.572841e+06	262428
DC	B10757_Nevada	Phoenix_6	2.910140e+05	1.574236e+06	262428
DC	B10757_Nevada	Phoenix_7	3.005510e+05	1.567614e+06	262428
DC	B10757_Nevada	Phoenix_8	2.813186e+05	1.575533e+06	262428
DC	B10757_Nevada	Phoenix_9	2.920638e+05	1.570871e+06	262428
DC	B10757_Nevada	Nuevo_Leon_1	3.480674e+05	1.559430e+06	262428
DC	B10757_Nevada	Nuevo_Leon_2	3.501273e+05	1.562042e+06	262428
DC	B10757_Nevada	Michoacan_1	3.566438e+05	1.545352e+06	262428
DC	B10757_Nevada	B0858_Guatemala	3.443339e+05	1.569395e+06	262428
DC	B10813_Texas	Tucson_1	3.319942e+05	1.560402e+06	262428
DC	B10813_Texas	Tucson_2	3.551880e+05	1.554180e+06	262428
DC	B10813_Texas	Tucson_3	3.350148e+05	1.564650e+06	262428
DC	B10813_Texas	Tucson_4	3.349752e+05	1.564683e+06	262428
DC	B10813_Texas	Tucson_5	3.396000e+05	1.550042e+06	262428
DC	B10813_Texas	Tucson_6	3.444428e+05	1.556711e+06	262428
DC	B10813_Texas	Tucson_7	3.680723e+05	1.545494e+06	262428
DC	B10813_Texas	Tucson_8	3.330638e+05	1.559785e+06	262428
DC	B10813_Texas	Tucson_9	3.272109e+05	1.557647e+06	262428
DC	B10813_Texas	Tucson_10	3.497906e+05	1.549149e+06	262428
DC	B10813_Texas	Tucson_11	3.261611e+05	1.554077e+06	262428
DC	B10813_Texas	Tucson_12	3.331925e+05	1.558971e+06	262428
DC	B10813_Texas	Tucson_13	3.300433e+05	1.561678e+06	262428
DC	B10813_Texas	Tucson_14	3.276268e+05	1.560424e+06	262428
DC	B10813_Texas	Tucson_15	3.328855e+05	1.557564e+06	262428
DC	B10813_Texas	Tucson_16	3.353218e+05	1.559646e+06	262428
DC	B10813_Texas	Tucson_17	3.306474e+05	1.560574e+06	262428
DC	B10813_Texas	Tucson_18	3.281418e+05	1.564083e+06	262428
DC	B10813_Texas	Tucson_19	3.312713e+05	1.560589e+06	262428
DC	B10813_Texas	Tucson_20	3.480674e+05	1.555136e+06	262428
DC	B10813_Texas	Tucson_21	3.278645e+05	1.561060e+06	262428
DC	B10813_Texas	Tucson_22	3.375698e+05	1.556963e+06	262428
DC	B10813_Texas	Tucson_23	3.316377e+05	1.559444e+06	262428
DC	B10813_Texas	San_Antonio_1	2.973621e+05	1.565240e+06	262428
DC	B10813_Texas	Colorado_Springs_1	3.325587e+05	1.554959e+06	262428
DC	B10813_Texas	Sonora_1	2.965698e+05	1.568429e+06	262428
DC	B10813_Texas	Sonora_2	3.435911e+05	1.542959e+06	262428
DC	B10813_Texas	Coahuila_2	2.842401e+05	1.569757e+06	262428
DC	B10813_Texas	Phoenix_1	3.404913e+05	1.557984e+06	262428
DC	B10813_Texas	Phoenix_2	3.328954e+05	1.558429e+06	262428
DC	B10813_Texas	Phoenix_3	3.282309e+05	1.560836e+06	262428
DC	B10813_Texas	Phoenix_4	3.220611e+05	1.560531e+06	262428
DC	B10813_Texas	Phoenix_5	3.247648e+05	1.561306e+06	262428
DC	B10813_Texas	Phoenix_6	3.249628e+05	1.562121e+06	262428
DC	B10813_Texas	Phoenix_7	3.279041e+05	1.556163e+06	262428
DC	B10813_Texas	Phoenix_8	3.262206e+05	1.561453e+06	262428
DC	B10813_Texas	Phoenix_9	3.353020e+05	1.556684e+06	262428
DC	B10813_Texas	Nuevo_Leon_1	2.992041e+05	1.561825e+06	262428
DC	B10813_Texas	Nuevo_Leon_2	2.899742e+05	1.566950e+06	262428
DC	B10813_Texas	Michoacan_1	2.856959e+05	1.553321e+06	262428
DC	B10813_Texas	B0858_Guatemala	3.441556e+05	1.563192e+06	262428
DC	B10813_Texas	B10757_Nevada	3.374411e+05	1.556236e+06	262428
DC	B1249_Guatemala	Tucson_1	3.481764e+05	1.571913e+06	262428
DC	B1249_Guatemala	Tucson_2	3.464136e+05	1.569874e+06	262428
DC	B1249_Guatemala	Tucson_3	3.487409e+05	1.576656e+06	262428
DC	B1249_Guatemala	Tucson_4	3.487012e+05	1.576689e+06	262428
DC	B1249_Guatemala	Tucson_5	3.562971e+05	1.561491e+06	262428
DC	B1249_Guatemala	Tucson_6	3.445418e+05	1.570922e+06	262428
DC	B1249_Guatemala	Tucson_7	3.548215e+05	1.562227e+06	262428
DC	B1249_Guatemala	Tucson_8	3.487310e+05	1.571085e+06	262428
DC	B1249_Guatemala	Tucson_9	3.489587e+05	1.568128e+06	262428
DC	B1249_Guatemala	Tucson_10	3.556930e+05	1.562481e+06	262428
DC	B1249_Guatemala	Tucson_11	3.352524e+05	1.566648e+06	262428
DC	B1249_Guatemala	Tucson_12	3.476713e+05	1.570942e+06	262428
DC	B1249_Guatemala	Tucson_13	3.433732e+05	1.573735e+06	262428
DC	B1249_Guatemala	Tucson_14	3.432544e+05	1.571986e+06	262428
DC	B1249_Guatemala	Tucson_15	3.492063e+05	1.568941e+06	262428
DC	B1249_Guatemala	Tucson_16	3.376392e+05	1.573729e+06	262428
DC	B1249_Guatemala	Tucson_17	3.472454e+05	1.571881e+06	262428
DC	B1249_Guatemala	Tucson_18	3.408380e+05	1.576151e+06	262428
DC	B1249_Guatemala	Tucson_19	3.337867e+05	1.574569e+06	262428
DC	B1249_Guatemala	Tucson_20	3.423037e+05	1.570449e+06	262428
DC	B1249_Guatemala	Tucson_21	3.408380e+05	1.573392e+06	262428
DC	B1249_Guatemala	Tucson_22	3.362230e+05	1.571746e+06	262428
DC	B1249_Guatemala	Tucson_23	3.420561e+05	1.571783e+06	262428
DC	B1249_Guatemala	San_Antonio_1	3.527220e+05	1.569205e+06	262428
DC	B1249_Guatemala	Colorado_Springs_1	3.474336e+05	1.566717e+06	262428
DC	B1249_Guatemala	Sonora_1	3.499491e+05	1.573040e+06	262428
DC	B1249_Guatemala	Sonora_2	3.448389e+05	1.556911e+06	262428
DC	B1249_Guatemala	Coahuila_2	3.480179e+05	1.572054e+06	262428
DC	B1249_Guatemala	Phoenix_1	3.430464e+05	1.571947e+06	262428
DC	B1249_Guatemala	Phoenix_2	3.370152e+05	1.571668e+06	262428
DC	B1249_Guatemala	Phoenix_3	3.456807e+05	1.572273e+06	262428
DC	B1249_Guatemala	Phoenix_4	3.425017e+05	1.570803e+06	262428
DC	B1249_Guatemala	Phoenix_5	3.373817e+05	1.573467e+06	262428
DC	B1249_Guatemala	Phoenix_6	3.321923e+05	1.575125e+06	262428
DC	B1249_Guatemala	Phoenix_7	3.391346e+05	1.568535e+06	262428
DC	B1249_Guatemala	Phoenix_8	3.378273e+05	1.573782e+06	262428
DC	B1249_Guatemala	Phoenix_9	3.464136e+05	1.569137e+06	262428
DC	B1249_Guatemala	Nuevo_Leon_1	3.520486e+05	1.566461e+06	262428
DC	B1249_Guatemala	Nuevo_Leon_2	3.454133e+05	1.570618e+06	262428
DC	B1249_Guatemala	Michoacan_1	3.409568e+05	1.556442e+06	262428
DC	B1249_Guatemala	B0858_Guatemala	7.989360e+04	1.631558e+06	262428
DC	B1249_Guatemala	B10757_Nevada	3.421353e+05	1.569488e+06	262428
DC	B1249_Guatemala	B10813_Texas	3.420957e+05	1.563284e+06	262428
DC	B5773_Brazil	Tucson_1	3.489884e+05	1.570149e+06	262428
DC	B5773_Brazil	Tucson_2	3.682802e+05	1.564705e+06	262428
DC	B5773_Brazil	Tucson_3	3.451162e+05	1.575575e+06	262428
DC	B5773_Brazil	Tucson_4	3.450766e+05	1.575608e+06	262428
DC	B5773_Brazil	Tucson_5	3.565546e+05	1.559885e+06	262428
DC	B5773_Brazil	Tucson_6	3.592385e+05	1.566878e+06	262428
DC	B5773_Brazil	Tucson_7	3.694587e+05	1.558086e+06	262428
DC	B5773_Brazil	Tucson_8	3.470672e+05	1.569673e+06	262428
DC	B5773_Brazil	Tucson_9	3.342423e+05	1.569162e+06	262428
DC	B5773_Brazil	Tucson_10	3.704491e+05	1.558396e+06	262428
DC	B5773_Brazil	Tucson_11	3.287360e+05	1.566492e+06	262428
DC	B5773_Brazil	Tucson_12	3.526428e+05	1.568407e+06	262428
DC	B5773_Brazil	Tucson_13	3.539104e+05	1.570159e+06	262428
DC	B5773_Brazil	Tucson_14	3.525041e+05	1.568814e+06	262428
DC	B5773_Brazil	Tucson_15	3.448488e+05	1.568085e+06	262428
DC	B5773_Brazil	Tucson_16	3.522764e+05	1.569407e+06	262428
DC	B5773_Brazil	Tucson_17	3.385701e+05	1.571624e+06	262428
DC	B5773_Brazil	Tucson_18	3.543264e+05	1.572269e+06	262428
DC	B5773_Brazil	Tucson_19	3.455322e+05	1.570745e+06	262428
DC	B5773_Brazil	Tucson_20	3.634375e+05	1.565222e+06	262428
DC	B5773_Brazil	Tucson_21	3.499887e+05	1.569948e+06	262428
DC	B5773_Brazil	Tucson_22	3.498500e+05	1.567499e+06	262428
DC	B5773_Brazil	Tucson_23	3.469483e+05	1.569251e+06	262428
DC	B5773_Brazil	San_Antonio_1	1.619234e+05	1.604969e+06	262428
DC	B5773_Brazil	Colorado_Springs_1	3.520090e+05	1.564307e+06	262428
DC	B5773_Brazil	Sonora_1	1.218344e+05	1.616628e+06	262428
DC	B5773_Brazil	Sonora_2	3.400853e+05	1.556199e+06	262428
DC	B5773_Brazil	Coahuila_2	1.338274e+05	1.612688e+06	262428
DC	B5773_Brazil	Phoenix_1	3.534846e+05	1.568549e+06	262428
DC	B5773_Brazil	Phoenix_2	3.545046e+05	1.567043e+06	262428
DC	B5773_Brazil	Phoenix_3	3.428682e+05	1.570897e+06	262428
DC	B5773_Brazil	Phoenix_4	3.438090e+05	1.568777e+06	262428
DC	B5773_Brazil	Phoenix_5	3.435020e+05	1.570704e+06	262428
DC	B5773_Brazil	Phoenix_6	3.478793e+05	1.570694e+06	262428
DC	B5773_Brazil	Phoenix_7	3.459679e+05	1.565494e+06	262428
DC	B5773_Brazil	Phoenix_8	3.507215e+05	1.569979e+06	262428
DC	B5773_Brazil	Phoenix_9	3.468691e+05	1.567284e+06	262428
DC	B5773_Brazil	Nuevo_Leon_1	1.903659e+05	1.595844e+06	262428
DC	B5773_Brazil	Nuevo_Leon_2	1.850181e+05	1.600522e+06	262428
DC	B5773_Brazil	Michoacan_1	3.026505e+05	1.561023e+06	262428
DC	B5773_Brazil	B0858_Guatemala	3.538609e+05	1.574039e+06	262428
DC	B5773_Brazil	B10757_Nevada	3.494638e+05	1.566606e+06	262428
DC	B5773_Brazil	B10813_Texas	2.902416e+05	1.571108e+06	262428
DC	B5773_Brazil	B1249_Guatemala	3.559010e+05	1.573391e+06	262428
DC	Tucson_24	Tucson_1	3.724199e+05	1.553378e+06	262428
DC	Tucson_24	Tucson_2	3.203280e+05	1.561176e+06	262428
DC	Tucson_24	Tucson_3	3.656757e+05	1.559493e+06	262428
DC	Tucson_24	Tucson_4	3.656360e+05	1.559526e+06	262428
DC	Tucson_24	Tucson_5	3.681812e+05	1.545355e+06	262428
DC	Tucson_24	Tucson_6	3.493945e+05	1.555964e+06	262428
DC	Tucson_24	Tucson_7	3.151288e+05	1.555817e+06	262428
DC	Tucson_24	Tucson_8	3.684585e+05	1.553424e+06	262428
DC	Tucson_24	Tucson_9	3.732418e+05	1.549584e+06	262428
DC	Tucson_24	Tucson_10	3.850467e+05	1.543153e+06	262428
DC	Tucson_24	Tucson_11	3.588423e+05	1.548515e+06	262428
DC	Tucson_24	Tucson_12	3.659331e+05	1.553486e+06	262428
DC	Tucson_24	Tucson_13	3.691220e+05	1.554794e+06	262428
DC	Tucson_24	Tucson_14	3.654776e+05	1.553783e+06	262428
DC	Tucson_24	Tucson_15	3.617440e+05	1.552575e+06	262428
DC	Tucson_24	Tucson_16	3.341334e+05	1.560365e+06	262428
DC	Tucson_24	Tucson_17	3.726179e+05	1.553139e+06	262428
DC	Tucson_24	Tucson_18	3.597336e+05	1.558609e+06	262428
DC	Tucson_24	Tucson_19	3.695182e+05	1.554021e+06	262428
DC	Tucson_24	Tucson_20	3.238041e+05	1.559972e+06	262428
DC	Tucson_24	Tucson_21	3.722911e+05	1.553360e+06	262428
DC	Tucson_24	Tucson_22	3.625858e+05	1.552755e+06	262428
DC	Tucson_24	Tucson_23	3.759059e+05	1.551528e+06	262428
DC	Tucson_24	San_Antonio_1	3.790056e+05	1.550318e+06	262428
DC	Tucson_24	Colorado_Springs_1	3.549800e+05	1.551341e+06	262428
DC	Tucson_24	Sonora_1	3.646061e+05	1.556438e+06	262428
DC	Tucson_24	Sonora_2	3.283003e+05	1.546355e+06	262428
DC	Tucson_24	Coahuila_2	3.739450e+05	1.553178e+06	262428
DC	Tucson_24	Phoenix_1	3.778469e+05	1.551654e+06	262428
DC	Tucson_24	Phoenix_2	3.690032e+05	1.551925e+06	262428
DC	Tucson_24	Phoenix_3	3.726773e+05	1.553305e+06	262428
DC	Tucson_24	Phoenix_4	3.751235e+05	1.551047e+06	262428
DC	Tucson_24	Phoenix_5	3.669136e+05	1.554091e+06	262428
DC	Tucson_24	Phoenix_6	3.591295e+05	1.555915e+06	262428
DC	Tucson_24	Phoenix_7	3.549404e+05	1.551384e+06	262428
DC	Tucson_24	Phoenix_8	3.704689e+05	1.553788e+06	262428
DC	Tucson_24	Phoenix_9	3.765991e+05	1.549756e+06	262428
DC	Tucson_24	Nuevo_Leon_1	3.707264e+05	1.548962e+06	262428
DC	Tucson_24	Nuevo_Leon_2	3.683298e+05	1.552480e+06	262428
DC	Tucson_24	Michoacan_1	3.784708e+05	1.535074e+06	262428
DC	Tucson_24	B0858_Guatemala	3.357377e+05	1.564308e+06	262428
DC	Tucson_24	B10757_Nevada	3.628136e+05	1.551898e+06	262428
DC	Tucson_24	B10813_Texas	3.763218e+05	1.542841e+06	262428
DC	Tucson_24	B1249_Guatemala	3.368865e+05	1.563860e+06	262428
DC	Tucson_24	B5773_Brazil	3.820261e+05	1.554531e+06	262428
DC	GT017_Paraguay	Tucson_1	3.349256e+05	1.564393e+06	262428
DC	GT017_Paraguay	Tucson_2	3.586938e+05	1.557798e+06	262428
DC	GT017_Paraguay	Tucson_3	3.381838e+05	1.568233e+06	262428
DC	GT017_Paraguay	Tucson_4	3.381442e+05	1.568266e+06	262428
DC	GT017_Paraguay	Tucson_5	3.423532e+05	1.554040e+06	262428
DC	GT017_Paraguay	Tucson_6	3.466611e+05	1.560943e+06	262428
DC	GT017_Paraguay	Tucson_7	3.635761e+05	1.550634e+06	262428
DC	GT017_Paraguay	Tucson_8	3.330440e+05	1.563612e+06	262428
DC	GT017_Paraguay	Tucson_9	3.402239e+05	1.559267e+06	262428
DC	GT017_Paraguay	Tucson_10	3.604269e+05	1.551671e+06	262428
DC	GT017_Paraguay	Tucson_11	3.359457e+05	1.556550e+06	262428
DC	GT017_Paraguay	Tucson_12	3.433930e+05	1.561463e+06	262428
DC	GT017_Paraguay	Tucson_13	3.489785e+05	1.562412e+06	262428
DC	GT017_Paraguay	Tucson_14	3.416500e+05	1.562137e+06	262428
DC	GT017_Paraguay	Tucson_15	3.372034e+05	1.560918e+06	262428
DC	GT017_Paraguay	Tucson_16	3.435020e+05	1.562606e+06	262428
