"Table S1: SRA accesion number, isolate identifier, species and origin of isolation for each strain used for phylogenomics and population genetic analyses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRA accesion number,Isolate ID,Species,Country of isolation,Publication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468029,Tucson_6,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468028,Tucson_5,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468026,Tucson_4,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468025,Tucson_3,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468024,Tucson_2,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468023,Tucson_1,Coccidioides posadasii,USA,"Engelthaler et al. 2016, mBio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1292228,212,Coccidioides immitis,USA,Litvintseva et al. 2015 Clin Inf Dis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1292225,202,Coccidioides immitis,USA,Litvintseva et al. 2015 Clin Inf Dis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1292226,205,Coccidioides immitis,USA,Litvintseva et al. 2015 Clin Inf Dis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1292227,211,Coccidioides immitis,USA,"Litvintseva et al. 2015 Clin Inf Dis, Teixeira, Barker, Stiajich 2019 MRA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR1292224,Washington_1,Coccidioides immitis,USA,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468022,B0727_Argentina,Coccidioides immitis,Argentina,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468020,Michoacan_2,Coccidioides immitis,Mexico,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468018,Guerrero_1,Coccidioides immitis,Mexico,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468019,San_Diego_1,Coccidioides immitis,USA,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468021,Coahuila_1,Coccidioides immitis,Mexico,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468015,SJV_1,Coccidioides immitis,USA,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468016,SJV_2,Coccidioides immitis,USA,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468027,SJV_3,Coccidioides immitis,USA,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468038,SJV_4,Coccidioides immitis,USA,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468049,SJV_5,Coccidioides immitis,USA,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468060,SJV_6,Coccidioides immitis,USA,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468071,SJV_7,Coccidioides immitis,USA,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468079,SJV_8,Coccidioides immitis,USA,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468080,SJV_9,Coccidioides immitis,USA,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468081,SJV_10,Coccidioides immitis,USA,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3468017,SJV_11,Coccidioides immitis,USA,Engelthaler et al. 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
